school_board_district,race,sbd_pop_2020,sbd_pop_2010,over_18,per_of_sbd_2020,per_of_sbd_2010
1,American Indian,176,271.001,FALSE,0.0024522097753998775,0.0036679150209214524
1,American Indian 18+,137,196.001,TRUE,0.0027338215632670164,0.003897570151828275
1,Asian,7219,4936,FALSE,0.10058239982165747,0.06680723887833731
1,Asian 18+,4539,2886,TRUE,0.09057529982240137,0.05738943912621059
1,Black,44492,44124.756,FALSE,0.619907484813019,0.5972149745827285
1,Black 18+,29862,27840.153,TRUE,0.595893281184523,0.5536142639840226
1,Hispanic,4261,3361.042,FALSE,0.05936855598283453,0.04549066770140288
1,Hispanic 18+,2660,1967.026,TRUE,0.05308003911160777,0.03911521790945029
1,Native Hawaiian,15,37,FALSE,2.0899515131248954e-4,5.007835977509078e-4
1,Native Hawaiian 18+,14,24,TRUE,2.793686269031988e-4,4.7725105302462033e-4
1,Other,328,106.002,FALSE,0.004570027308699771,0.0014347044034808574
1,Other 18+,201,46.002,TRUE,0.004010935286253068,9.14770955884941e-4
1,Two or More,2811,2157.603,FALSE,0.03916569135596054,0.02920249169886897
1,Two or More 18+,1524,874.011,TRUE,0.03041127052860535,0.017380111254379226
1,White,12470,18890.805,FALSE,0.17374463579111632,0.2556812241165091
1,White 18+,11176,16454.805,TRUE,0.22301598387643926,0.32721137556519947
2,American Indian,202,326,FALSE,0.0028201262076283018,0.0043608072528411165
2,American Indian 18+,150,234,TRUE,0.0028419856006062904,0.004395047780367516
2,Asian,3722,2785,FALSE,0.05196291952867594,0.037254135580253096
2,Asian 18+,2515,1728,TRUE,0.04765062523683213,0.03245573745502166
2,Black,38660,37558.973,FALSE,0.5397330652817334,0.502415465851729
2,Black 18+,26934,24496.384000000002,TRUE,0.5103069344448655,0.46009734241978784
2,Hispanic,3959,3214.079,FALSE,0.05527168146534875,0.04299380065768198
2,Hispanic 18+,2470,1869.095,TRUE,0.046798029556650245,0.035105819790794975
